"","ID","Biome","State","Latitude","Locality","Family","Temp_let","Temp_num","Sex","Sex1","Wing.length..mm.","sLL","dLL","dPL","Emtime","Preadult.death","Death_stat","AdRate","LarvRate","Puplen","Puprate","D.pread.rate","AL","time"
"13","RPV 107","Amazon","Rondonia",-8.742,"RPV",11,"A",20,"",NA,NA,NA,NA,22,NA,22,0,NA,NA,NA,NA,0.0454545454545455,NA,22
"14","RPV 108","Amazon","Rondonia",-8.742,"RPV",11,"A",20,"M",1,2.944,21,NA,NA,24,NA,1,0.0416666666666667,0.0476190476190476,3,0.333333333333333,NA,4,24
"15","RPV 109","Amazon","Rondonia",-8.742,"RPV",11,"A",20,"F",0,2.843,23,NA,NA,26,NA,1,0.0384615384615385,0.0434782608695652,3,0.333333333333333,NA,2,26
"16","RPV 110","Amazon","Rondonia",-8.742,"RPV",11,"B",24,"M",1,2.704,13,NA,NA,14,NA,1,0.0714285714285714,0.0769230769230769,1,1,NA,4,14
"17","RPV 111","Amazon","Rondonia",-8.742,"RPV",11,"B",24,"M",1,2.664,15,NA,NA,17,NA,1,0.0588235294117647,0.0666666666666667,2,0.5,NA,2,17
"18","RPV 112","Amazon","Rondonia",-8.742,"RPV",11,"B",24,"",NA,NA,NA,16,NA,NA,16,0,NA,NA,NA,NA,0.0625,NA,16
"19","RPV 113","Amazon","Rondonia",-8.742,"RPV",11,"B",24,"",NA,NA,NA,16,NA,NA,16,0,NA,NA,NA,NA,0.0625,NA,16
"20","RPV 114","Amazon","Rondonia",-8.742,"RPV",11,"B",24,"",NA,NA,NA,16,NA,NA,16,0,NA,NA,NA,NA,0.0625,NA,16
"21","RPV 115","Amazon","Rondonia",-8.742,"RPV",11,"B",24,"F",0,2.665,14,NA,NA,16,NA,1,0.0625,0.0714285714285714,2,0.5,NA,3,16
"22","RPV 116","Amazon","Rondonia",-8.742,"RPV",11,"B",24,"M",1,2.612,15,NA,NA,17,NA,1,0.0588235294117647,0.0666666666666667,2,0.5,NA,2,17
"23","RPV 117","Amazon","Rondonia",-8.742,"RPV",11,"B",24,"F",0,2.627,18,NA,NA,20,NA,1,0.05,0.0555555555555556,2,0.5,NA,3,20
"24","RPV 118","Amazon","Rondonia",-8.742,"RPV",11,"B",24,"F",0,2.579,19,NA,NA,22,NA,1,0.0454545454545455,0.0526315789473684,3,0.333333333333333,NA,2,22
"25","RPV 119","Amazon","Rondonia",-8.742,"RPV",11,"B",24,"F",0,2.522,19,NA,NA,21,NA,1,0.0476190476190476,0.0526315789473684,2,0.5,NA,3,21
"26","RPV 120","Amazon","Rondonia",-8.742,"RPV",11,"B",24,"M",1,2.735,14,NA,NA,16,NA,1,0.0625,0.0714285714285714,2,0.5,NA,3,16
"27","RPV 121","Amazon","Rondonia",-8.742,"RPV",11,"B",24,"M",1,2.644,15,NA,NA,17,NA,1,0.0588235294117647,0.0666666666666667,2,0.5,NA,2,17
"28","RPV 122","Amazon","Rondonia",-8.742,"RPV",11,"B",24,"M",1,2.77,15,NA,NA,17,NA,1,0.0588235294117647,0.0666666666666667,2,0.5,NA,3,17
"29","RPV 123","Amazon","Rondonia",-8.742,"RPV",11,"B",24,"F",0,2.73,17,NA,NA,19,NA,1,0.0526315789473684,0.0588235294117647,2,0.5,NA,4,19
"30","RPV 124","Amazon","Rondonia",-8.742,"RPV",11,"B",24,"F",0,2.676,18,NA,NA,20,NA,1,0.05,0.0555555555555556,2,0.5,NA,3,20
"31","RPV 125","Amazon","Rondonia",-8.742,"RPV",11,"C",28,"M",1,2.328,13,NA,NA,14,NA,1,0.0714285714285714,0.0769230769230769,1,1,NA,2,14
"32","RPV 126","Amazon","Rondonia",-8.742,"RPV",11,"C",28,"M",1,2.46,16,NA,NA,17,NA,1,0.0588235294117647,0.0625,1,1,NA,1,17
"33","RPV 127","Amazon","Rondonia",-8.742,"RPV",11,"C",28,"M",1,2.495,17,NA,NA,19,NA,1,0.0526315789473684,0.0588235294117647,2,0.5,NA,1,19
"34","RPV 128","Amazon","Rondonia",-8.742,"RPV",11,"C",28,"",NA,NA,NA,NA,19,NA,19,0,NA,NA,NA,NA,0.0526315789473684,NA,19
"35","RPV 129","Amazon","Rondonia",-8.742,"RPV",11,"C",28,"",NA,NA,NA,16,NA,NA,16,0,NA,NA,NA,NA,0.0625,NA,16
"36","RPV 130","Amazon","Rondonia",-8.742,"RPV",11,"C",28,"F",0,2.414,17,NA,NA,18,NA,1,0.0555555555555556,0.0588235294117647,1,1,NA,2,18
"37","RPV 131","Amazon","Rondonia",-8.742,"RPV",11,"C",28,"",NA,NA,NA,NA,22,NA,22,0,NA,NA,NA,NA,0.0454545454545455,NA,22
"38","RPV 132","Amazon","Rondonia",-8.742,"RPV",11,"C",28,NA,NA,NA,NA,NA,22,NA,22,0,NA,NA,NA,NA,0.0454545454545455,NA,22
"39","RPV 133","Amazon","Rondonia",-8.742,"RPV",11,"C",28,"",NA,NA,NA,20,NA,NA,20,0,NA,NA,NA,NA,0.05,NA,20
"40","RPV 134","Amazon","Rondonia",-8.742,"RPV",11,"C",28,"",NA,NA,NA,18,NA,NA,18,0,NA,NA,NA,NA,0.0555555555555556,NA,18
"41","RPV 135","Amazon","Rondonia",-8.742,"RPV",11,"C",28,"M",1,2.567,15,NA,NA,17,NA,1,0.0588235294117647,0.0666666666666667,2,0.5,NA,1,17
"42","RPV 136","Amazon","Rondonia",-8.742,"RPV",11,"C",28,"",NA,NA,NA,NA,21,NA,21,0,NA,NA,NA,NA,0.0476190476190476,NA,21
"43","RPV 137","Amazon","Rondonia",-8.742,"RPV",11,"C",28,"",NA,NA,NA,19,NA,NA,19,0,NA,NA,NA,NA,0.0526315789473684,NA,19
"44","RPV 138","Amazon","Rondonia",-8.742,"RPV",11,"C",28,"",NA,NA,NA,17,NA,NA,17,0,NA,NA,NA,NA,0.0588235294117647,NA,17
"45","RPV 139","Amazon","Rondonia",-8.742,"RPV",11,"C",28,"",NA,NA,NA,10,NA,NA,10,0,NA,NA,NA,NA,0.1,NA,10
"46","RPV 140","Amazon","Rondonia",-8.742,"RPV",23,"A",20,"F",0,2.616,20,NA,NA,23,NA,1,0.0434782608695652,0.05,3,0.333333333333333,NA,4,23
"47","RPV 141","Amazon","Rondonia",-8.742,"RPV",23,"A",20,"M",1,2.703,20,NA,NA,23,NA,1,0.0434782608695652,0.05,3,0.333333333333333,NA,4,23
"48","RPV 142","Amazon","Rondonia",-8.742,"RPV",23,"A",20,"M",1,2.703,21,NA,NA,24,NA,1,0.0416666666666667,0.0476190476190476,3,0.333333333333333,NA,4,24
"49","RPV 143","Amazon","Rondonia",-8.742,"RPV",23,"A",20,"M",1,2.962,22,NA,NA,25,NA,1,0.04,0.0454545454545455,3,0.333333333333333,NA,5,25
"50","RPV 144","Amazon","Rondonia",-8.742,"RPV",23,"A",20,"M",1,2.778,22,NA,NA,26,NA,1,0.0384615384615385,0.0454545454545455,4,0.25,NA,3,26
"51","RPV 145","Amazon","Rondonia",-8.742,"RPV",23,"A",20,"M",1,2.785,18,NA,NA,21,NA,1,0.0476190476190476,0.0555555555555556,3,0.333333333333333,NA,4,21
"52","RPV 146","Amazon","Rondonia",-8.742,"RPV",23,"A",20,"M",1,2.725,19,NA,NA,22,NA,1,0.0454545454545455,0.0526315789473684,3,0.333333333333333,NA,4,22
"53","RPV 147","Amazon","Rondonia",-8.742,"RPV",23,"A",20,"M",1,3.038,22,NA,NA,25,NA,1,0.04,0.0454545454545455,3,0.333333333333333,NA,6,25
"54","RPV 148","Amazon","Rondonia",-8.742,"RPV",23,"A",20,"M",1,3.063,23,NA,NA,26,NA,1,0.0384615384615385,0.0434782608695652,3,0.333333333333333,NA,5,26
"55","RPV 149","Amazon","Rondonia",-8.742,"RPV",23,"A",20,"",NA,NA,NA,16,NA,NA,16,0,NA,NA,NA,NA,0.0625,NA,16
"56","RPV 150","Amazon","Rondonia",-8.742,"RPV",23,"A",20,"M",1,2.682,20,NA,NA,23,NA,1,0.0434782608695652,0.05,3,0.333333333333333,NA,4,23
"57","RPV 151","Amazon","Rondonia",-8.742,"RPV",23,"A",20,"F",0,2.556,21,NA,NA,23,NA,1,0.0434782608695652,0.0476190476190476,2,0.5,NA,5,23
"58","RPV 152","Amazon","Rondonia",-8.742,"RPV",23,"A",20,"F",0,2.628,22,NA,NA,24,NA,1,0.0416666666666667,0.0454545454545455,2,0.5,NA,5,24
"59","RPV 153","Amazon","Rondonia",-8.742,"RPV",23,"A",20,"M",1,2.807,23,NA,NA,26,NA,1,0.0384615384615385,0.0434782608695652,3,0.333333333333333,NA,4,26
"60","RPV 154","Amazon","Rondonia",-8.742,"RPV",23,"A",20,"M",1,2.931,23,NA,NA,26,NA,1,0.0384615384615385,0.0434782608695652,3,0.333333333333333,NA,4,26
"61","RPV 155","Amazon","Rondonia",-8.742,"RPV",23,"B",24,"M",1,2.592,15,NA,NA,17,NA,1,0.0588235294117647,0.0666666666666667,2,0.5,NA,2,17
"62","RPV 156","Amazon","Rondonia",-8.742,"RPV",23,"B",24,"M",1,2.611,15,NA,NA,17,NA,1,0.0588235294117647,0.0666666666666667,2,0.5,NA,2,17
"63","RPV 157","Amazon","Rondonia",-8.742,"RPV",23,"B",24,"M",1,2.663,16,NA,NA,18,NA,1,0.0555555555555556,0.0625,2,0.5,NA,3,18
"64","RPV 158","Amazon","Rondonia",-8.742,"RPV",23,"B",24,"",NA,NA,NA,NA,18,NA,18,0,NA,NA,NA,NA,0.0555555555555556,NA,18
"65","RPV 159","Amazon","Rondonia",-8.742,"RPV",23,"B",24,"M",1,2.816,19,NA,NA,21,NA,1,0.0476190476190476,0.0526315789473684,2,0.5,NA,4,21
"66","RPV 160","Amazon","Rondonia",-8.742,"RPV",23,"B",24,"M",1,2.643,15,NA,NA,17,NA,1,0.0588235294117647,0.0666666666666667,2,0.5,NA,2,17
"67","RPV 161","Amazon","Rondonia",-8.742,"RPV",23,"B",24,"F",0,2.688,18,NA,NA,20,NA,1,0.05,0.0555555555555556,2,0.5,NA,1,20
"68","RPV 162","Amazon","Rondonia",-8.742,"RPV",23,"B",24,"F",0,2.618,18,NA,NA,20,NA,1,0.05,0.0555555555555556,2,0.5,NA,3,20
"69","RPV 163","Amazon","Rondonia",-8.742,"RPV",23,"B",24,"",NA,NA,NA,17,NA,NA,17,0,NA,NA,NA,NA,0.0588235294117647,NA,17
"70","RPV 164","Amazon","Rondonia",-8.742,"RPV",23,"B",24,"",NA,NA,NA,9,NA,NA,9,0,NA,NA,NA,NA,0.111111111111111,NA,9
"71","RPV 165","Amazon","Rondonia",-8.742,"RPV",23,"B",24,"M",1,2.724,16,NA,NA,18,NA,1,0.0555555555555556,0.0625,2,0.5,NA,3,18
"72","RPV 166","Amazon","Rondonia",-8.742,"RPV",23,"B",24,"F",0,2.63,18,NA,NA,20,NA,1,0.05,0.0555555555555556,2,0.5,NA,2,20
"73","RPV 167","Amazon","Rondonia",-8.742,"RPV",23,"B",24,"M",1,2.736,18,NA,NA,20,NA,1,0.05,0.0555555555555556,2,0.5,NA,2,20
"74","RPV 168","Amazon","Rondonia",-8.742,"RPV",23,"B",24,"M",1,2.813,20,NA,NA,22,NA,1,0.0454545454545455,0.05,2,0.5,NA,2,22
"75","RPV 169","Amazon","Rondonia",-8.742,"RPV",23,"B",24,"",NA,NA,NA,17,NA,NA,17,0,NA,NA,NA,NA,0.0588235294117647,NA,17
"76","RPV 170","Amazon","Rondonia",-8.742,"RPV",23,"C",28,"",NA,NA,NA,NA,16,NA,16,0,NA,NA,NA,NA,0.0625,NA,16
"77","RPV 171","Amazon","Rondonia",-8.742,"RPV",23,"C",28,"M",1,2.629,16,NA,NA,18,NA,1,0.0555555555555556,0.0625,2,0.5,NA,1,18
"78","RPV 172","Amazon","Rondonia",-8.742,"RPV",23,"C",28,"M",1,2.591,16,NA,NA,18,NA,1,0.0555555555555556,0.0625,2,0.5,NA,1,18
"79","RPV 173","Amazon","Rondonia",-8.742,"RPV",23,"C",28,"M",1,2.482,18,NA,NA,20,NA,1,0.05,0.0555555555555556,2,0.5,NA,1,20
"80","RPV 174","Amazon","Rondonia",-8.742,"RPV",23,"C",28,"M",1,2.524,20,NA,NA,22,NA,1,0.0454545454545455,0.05,2,0.5,NA,1,22
"81","RPV 175","Amazon","Rondonia",-8.742,"RPV",23,"C",28,"",NA,NA,NA,NA,15,NA,15,0,NA,NA,NA,NA,0.0666666666666667,NA,15
"82","RPV 176","Amazon","Rondonia",-8.742,"RPV",23,"C",28,"M",1,2.528,15,NA,NA,17,NA,1,0.0588235294117647,0.0666666666666667,2,0.5,NA,1,17
"83","RPV 177","Amazon","Rondonia",-8.742,"RPV",23,"C",28,"F",0,2.237,19,NA,NA,20,NA,1,0.05,0.0526315789473684,1,1,NA,1,20
"84","RPV 178","Amazon","Rondonia",-8.742,"RPV",23,"C",28,"",NA,NA,NA,NA,21,NA,21,0,NA,NA,NA,NA,0.0476190476190476,NA,21
"85","RPV 179","Amazon","Rondonia",-8.742,"RPV",23,"C",28,"",NA,NA,NA,20,NA,NA,20,0,NA,NA,NA,NA,0.05,NA,20
"86","RPV 180","Amazon","Rondonia",-8.742,"RPV",23,"C",28,"F",0,2.502,14,NA,NA,16,NA,1,0.0625,0.0714285714285714,2,0.5,NA,2,16
"87","RPV 181","Amazon","Rondonia",-8.742,"RPV",23,"C",28,"M",1,2.602,15,NA,NA,17,NA,1,0.0588235294117647,0.0666666666666667,2,0.5,NA,1,17
"88","RPV 182","Amazon","Rondonia",-8.742,"RPV",23,"C",28,"F",0,2.501,18,NA,NA,20,NA,1,0.05,0.0555555555555556,2,0.5,NA,2,20
"89","RPV 183","Amazon","Rondonia",-8.742,"RPV",23,"C",28,"M",1,2.378,18,NA,NA,19,NA,1,0.0526315789473684,0.0555555555555556,1,1,NA,2,19
"90","RPV 184","Amazon","Rondonia",-8.742,"RPV",23,"C",28,"F",0,2.421,19,NA,NA,20,NA,1,0.05,0.0526315789473684,1,1,NA,3,20
"91","RPV 185","Amazon","Rondonia",-8.742,"RPV",25,"A",20,"F",0,2.752,20,NA,NA,23,NA,1,0.0434782608695652,0.05,3,0.333333333333333,NA,4,23
"92","RPV 186","Amazon","Rondonia",-8.742,"RPV",25,"A",20,"F",0,2.806,21,NA,NA,24,NA,1,0.0416666666666667,0.0476190476190476,3,0.333333333333333,NA,4,24
"93","RPV 187","Amazon","Rondonia",-8.742,"RPV",25,"A",20,"F",0,2.684,21,NA,NA,24,NA,1,0.0416666666666667,0.0476190476190476,3,0.333333333333333,NA,4,24
"94","RPV 188","Amazon","Rondonia",-8.742,"RPV",25,"A",20,"F",0,2.775,22,NA,NA,25,NA,1,0.04,0.0454545454545455,3,0.333333333333333,NA,5,25
"95","RPV 189","Amazon","Rondonia",-8.742,"RPV",25,"A",20,"",NA,NA,NA,29,NA,NA,29,0,NA,NA,NA,NA,0.0344827586206897,NA,29
"96","RPV 190","Amazon","Rondonia",-8.742,"RPV",25,"A",20,"F",0,2.825,18,NA,NA,21,NA,1,0.0476190476190476,0.0555555555555556,3,0.333333333333333,NA,4,21
"97","RPV 191","Amazon","Rondonia",-8.742,"RPV",25,"A",20,"F",0,2.778,20,NA,NA,23,NA,1,0.0434782608695652,0.05,3,0.333333333333333,NA,4,23
"98","RPV 192","Amazon","Rondonia",-8.742,"RPV",25,"A",20,"",NA,NA,NA,32,NA,NA,32,0,NA,NA,NA,NA,0.03125,NA,32
"99","RPV 193","Amazon","Rondonia",-8.742,"RPV",25,"A",20,"",NA,NA,NA,32,NA,NA,32,0,NA,NA,NA,NA,0.03125,NA,32
"100","RPV 194","Amazon","Rondonia",-8.742,"RPV",25,"A",20,"",NA,NA,NA,31,NA,NA,31,0,NA,NA,NA,NA,0.032258064516129,NA,31
"101","RPV 195","Amazon","Rondonia",-8.742,"RPV",25,"A",20,"F",0,2.765,18,NA,NA,21,NA,1,0.0476190476190476,0.0555555555555556,3,0.333333333333333,NA,5,21
"102","RPV 196","Amazon","Rondonia",-8.742,"RPV",25,"A",20,"F",0,2.814,21,NA,NA,24,NA,1,0.0416666666666667,0.0476190476190476,3,0.333333333333333,NA,4,24
"103","RPV 197","Amazon","Rondonia",-8.742,"RPV",25,"A",20,"",NA,NA,NA,32,NA,NA,32,0,NA,NA,NA,NA,0.03125,NA,32
"104","RPV 198","Amazon","Rondonia",-8.742,"RPV",25,"A",20,"",NA,NA,NA,29,NA,NA,29,0,NA,NA,NA,NA,0.0344827586206897,NA,29
"105","RPV 199","Amazon","Rondonia",-8.742,"RPV",25,"A",20,"",NA,NA,NA,23,NA,NA,23,0,NA,NA,NA,NA,0.0434782608695652,NA,23
"106","RPV 200","Amazon","Rondonia",-8.742,"RPV",25,"B",24,"F",0,2.6,17,NA,NA,19,NA,1,0.0526315789473684,0.0588235294117647,2,0.5,NA,3,19
"107","RPV 201","Amazon","Rondonia",-8.742,"RPV",25,"B",24,"",NA,NA,NA,27,NA,NA,27,0,NA,NA,NA,NA,0.037037037037037,NA,27
"108","RPV 202","Amazon","Rondonia",-8.742,"RPV",25,"B",24,"",NA,NA,NA,27,NA,NA,27,0,NA,NA,NA,NA,0.037037037037037,NA,27
"109","RPV 203","Amazon","Rondonia",-8.742,"RPV",25,"B",24,"",NA,NA,NA,27,NA,NA,27,0,NA,NA,NA,NA,0.037037037037037,NA,27
"110","RPV 204","Amazon","Rondonia",-8.742,"RPV",25,"B",24,"",NA,NA,NA,27,NA,NA,27,0,NA,NA,NA,NA,0.037037037037037,NA,27
"111","RPV 205","Amazon","Rondonia",-8.742,"RPV",25,"B",24,"F",0,2.657,15,NA,NA,17,NA,1,0.0588235294117647,0.0666666666666667,2,0.5,NA,3,17
"112","RPV 206","Amazon","Rondonia",-8.742,"RPV",25,"B",24,"",NA,NA,NA,16,NA,NA,16,0,NA,NA,NA,NA,0.0625,NA,16
"113","RPV 207","Amazon","Rondonia",-8.742,"RPV",25,"B",24,"",NA,NA,NA,16,NA,NA,16,0,NA,NA,NA,NA,0.0625,NA,16
"114","RPV 208","Amazon","Rondonia",-8.742,"RPV",25,"B",24,"",NA,NA,NA,16,NA,NA,16,0,NA,NA,NA,NA,0.0625,NA,16
"115","RPV 209","Amazon","Rondonia",-8.742,"RPV",25,"B",24,"",NA,NA,NA,16,NA,NA,16,0,NA,NA,NA,NA,0.0625,NA,16
"116","RPV 210","Amazon","Rondonia",-8.742,"RPV",25,"B",24,"F",0,2.647,14,NA,NA,16,NA,1,0.0625,0.0714285714285714,2,0.5,NA,3,16
"117","RPV 211","Amazon","Rondonia",-8.742,"RPV",25,"B",24,"F",0,2.647,17,NA,NA,19,NA,1,0.0526315789473684,0.0588235294117647,2,0.5,NA,3,19
"118","RPV 212","Amazon","Rondonia",-8.742,"RPV",25,"B",24,"F",0,2.626,18,NA,NA,20,NA,1,0.05,0.0555555555555556,2,0.5,NA,3,20
"119","RPV 213","Amazon","Rondonia",-8.742,"RPV",25,"B",24,"F",0,2.498,19,NA,NA,21,NA,1,0.0476190476190476,0.0526315789473684,2,0.5,NA,3,21
"120","RPV 214","Amazon","Rondonia",-8.742,"RPV",25,"B",24,"",NA,NA,NA,24,NA,NA,24,0,NA,NA,NA,NA,0.0416666666666667,NA,24
"121","RPV 215","Amazon","Rondonia",-8.742,"RPV",25,"C",28,"",NA,NA,NA,23,NA,NA,23,0,NA,NA,NA,NA,0.0434782608695652,NA,23
"122","RPV 216","Amazon","Rondonia",-8.742,"RPV",25,"C",28,"",NA,NA,NA,21,NA,NA,21,0,NA,NA,NA,NA,0.0476190476190476,NA,21
"123","RPV 217","Amazon","Rondonia",-8.742,"RPV",25,"C",28,"",NA,NA,NA,16,NA,NA,16,0,NA,NA,NA,NA,0.0625,NA,16
"124","RPV 218","Amazon","Rondonia",-8.742,"RPV",25,"C",28,"",NA,NA,NA,14,NA,NA,14,0,NA,NA,NA,NA,0.0714285714285714,NA,14
"125","RPV 219","Amazon","Rondonia",-8.742,"RPV",25,"C",28,"",NA,NA,NA,18,NA,NA,18,0,NA,NA,NA,NA,0.0555555555555556,NA,18
"126","RPV 220","Amazon","Rondonia",-8.742,"RPV",25,"C",28,"F",0,2.373,15,NA,NA,16,NA,1,0.0625,0.0666666666666667,1,1,NA,2,16
"127","RPV 221","Amazon","Rondonia",-8.742,"RPV",25,"C",28,"",NA,NA,NA,NA,17,NA,17,0,NA,NA,NA,NA,0.0588235294117647,NA,17
"128","RPV 222","Amazon","Rondonia",-8.742,"RPV",25,"C",28,"F",0,NA,16,NA,NA,17,NA,1,0.0588235294117647,0.0625,1,1,NA,1,17
"129","RPV 223","Amazon","Rondonia",-8.742,"RPV",25,"C",28,"",NA,NA,NA,16,NA,NA,16,0,NA,NA,NA,NA,0.0625,NA,16
"130","RPV 224","Amazon","Rondonia",-8.742,"RPV",25,"C",28,"",NA,NA,NA,13,NA,NA,13,0,NA,NA,NA,NA,0.0769230769230769,NA,13
"131","RPV 225","Amazon","Rondonia",-8.742,"RPV",25,"C",28,"",NA,NA,NA,NA,17,NA,17,0,NA,NA,NA,NA,0.0588235294117647,NA,17
"132","RPV 226","Amazon","Rondonia",-8.742,"RPV",25,"C",28,"",NA,NA,NA,21,NA,NA,21,0,NA,NA,NA,NA,0.0476190476190476,NA,21
"133","RPV 227","Amazon","Rondonia",-8.742,"RPV",25,"C",28,"",NA,NA,NA,16,NA,NA,16,0,NA,NA,NA,NA,0.0625,NA,16
"134","RPV 228","Amazon","Rondonia",-8.742,"RPV",25,"C",28,"",NA,NA,NA,15,NA,NA,15,0,NA,NA,NA,NA,0.0666666666666667,NA,15
"135","RPV 229","Amazon","Rondonia",-8.742,"RPV",25,"C",28,"",NA,NA,NA,11,NA,NA,11,0,NA,NA,NA,NA,0.0909090909090909,NA,11
"136","RPV 230","Amazon","Rondonia",-8.742,"RPV",38,"A",20,"M",1,2.769,19,NA,NA,22,NA,1,0.0454545454545455,0.0526315789473684,3,0.333333333333333,NA,4,22
"137","RPV 231","Amazon","Rondonia",-8.742,"RPV",38,"A",20,"M",1,2.867,20,NA,NA,23,NA,1,0.0434782608695652,0.05,3,0.333333333333333,NA,4,23
"138","RPV 232","Amazon","Rondonia",-8.742,"RPV",38,"A",20,"M",1,2.762,20,NA,NA,23,NA,1,0.0434782608695652,0.05,3,0.333333333333333,NA,4,23
"139","RPV 233","Amazon","Rondonia",-8.742,"RPV",38,"A",20,"F",0,2.762,21,NA,NA,24,NA,1,0.0416666666666667,0.0476190476190476,3,0.333333333333333,NA,3,24
"140","RPV 234","Amazon","Rondonia",-8.742,"RPV",38,"A",20,"M",1,2.96,22,NA,NA,25,NA,1,0.04,0.0454545454545455,3,0.333333333333333,NA,4,25
"141","RPV 235","Amazon","Rondonia",-8.742,"RPV",38,"A",20,"M",1,2.908,19,NA,NA,22,NA,1,0.0454545454545455,0.0526315789473684,3,0.333333333333333,NA,5,22
"142","RPV 236","Amazon","Rondonia",-8.742,"RPV",38,"A",20,"M",1,2.787,19,NA,NA,22,NA,1,0.0454545454545455,0.0526315789473684,3,0.333333333333333,NA,2,22
"143","RPV 237","Amazon","Rondonia",-8.742,"RPV",38,"A",20,"F",0,2.748,20,NA,NA,23,NA,1,0.0434782608695652,0.05,3,0.333333333333333,NA,5,23
"144","RPV 238","Amazon","Rondonia",-8.742,"RPV",38,"A",20,"F",0,2.741,21,NA,NA,24,NA,1,0.0416666666666667,0.0476190476190476,3,0.333333333333333,NA,5,24
"145","RPV 239","Amazon","Rondonia",-8.742,"RPV",38,"A",20,"M",1,2.935,22,NA,NA,25,NA,1,0.04,0.0454545454545455,3,0.333333333333333,NA,4,25
"146","RPV 240","Amazon","Rondonia",-8.742,"RPV",38,"A",20,"F",0,2.824,19,NA,NA,22,NA,1,0.0454545454545455,0.0526315789473684,3,0.333333333333333,NA,4,22
"147","RPV 241","Amazon","Rondonia",-8.742,"RPV",38,"A",20,"F",0,2.781,20,NA,NA,23,NA,1,0.0434782608695652,0.05,3,0.333333333333333,NA,5,23
"148","RPV 242","Amazon","Rondonia",-8.742,"RPV",38,"A",20,"M",1,2.732,21,NA,NA,24,NA,1,0.0416666666666667,0.0476190476190476,3,0.333333333333333,NA,4,24
"149","RPV 243","Amazon","Rondonia",-8.742,"RPV",38,"A",20,"M",1,2.81,22,NA,NA,25,NA,1,0.04,0.0454545454545455,3,0.333333333333333,NA,5,25
"150","RPV 244","Amazon","Rondonia",-8.742,"RPV",38,"A",20,"M",1,3.053,23,NA,NA,27,NA,1,0.037037037037037,0.0434782608695652,4,0.25,NA,4,27
"151","RPV 245","Amazon","Rondonia",-8.742,"RPV",38,"B",24,"F",0,2.55,14,NA,NA,15,NA,1,0.0666666666666667,0.0714285714285714,1,1,NA,3,15
"152","RPV 246","Amazon","Rondonia",-8.742,"RPV",38,"B",24,"M",1,2.59,16,NA,NA,17,NA,1,0.0588235294117647,0.0625,1,1,NA,3,17
"153","RPV 247","Amazon","Rondonia",-8.742,"RPV",38,"B",24,"M",1,2.771,18,NA,NA,20,NA,1,0.05,0.0555555555555556,2,0.5,NA,3,20
"154","RPV 248","Amazon","Rondonia",-8.742,"RPV",38,"B",24,"M",1,2.916,19,NA,NA,21,NA,1,0.0476190476190476,0.0526315789473684,2,0.5,NA,4,21
