ID,Temp_let,AdRate
RPV 248,B,0.047619048
RPV 249,B,0.045454545
RPV 250,B,0.055555556
RPV 252,B,0.05
RPV 253,B,0.045454545
RPV 254,B,0.045454545
RPV 255,B,0.066666667
RPV 256,B,0.055555556
RPV 257,B,0.05
RPV 258,B,0.05
RPV 259,B,0.047619048
RPV 260,C,0.066666667
RPV 261,C,0.055555556
RPV 262,C,0.05
RPV 263,C,0.052631579
RPV 266,C,0.052631579
RPV 270,C,0.071428571
RPV 271,C,0.058823529
RPV 272,C,0.05
RPV 273,C,0.05
RPV 280,A,0.043478261
RPV 281,A,0.041666667
RPV 282,A,0.041666667
RPV 285,A,0.05
RPV 286,A,0.05
RPV 290,B,0.066666667
RPV 291,B,0.052631579
RPV 295,B,0.052631579
RPV 296,B,0.047619048
RPV 297,B,0.045454545
RPV 300,B,0.058823529
RPV 301,B,0.055555556
RPV 302,B,0.052631579
RPV 310,C,0.071428571
RPV 311,C,0.076923077
RPV 312,C,0.0625
RPV 315,C,0.066666667
RPV 320,A,0.05
RPV 321,A,0.043478261
RPV 322,A,0.043478261
RPV 323,A,0.043478261
RPV 324,A,0.037037037
RPV 325,A,0.047619048
RPV 326,A,0.045454545
RPV 327,A,0.041666667
RPV 328,A,0.04
RPV 329,A,0.04
RPV 330,A,0.047619048
RPV 332,A,0.04
RPV 333,A,0.037037037
RPV 334,A,0.034482759
RPV 335,B,0.0625
RPV 336,B,0.045454545
RPV 337,B,0.045454545
RPV 338,B,0.043478261
RPV 339,B,0.038461538
RPV 340,B,0.055555556
RPV 341,B,0.047619048
RPV 342,B,0.047619048
RPV 343,B,0.045454545
RPV 344,B,0.041666667
RPV 345,B,0.0625
RPV 346,B,0.052631579
RPV 347,B,0.05
RPV 348,B,0.05
RPV 349,B,0.043478261
RPV 350,C,0.066666667
RPV 351,C,0.058823529
RPV 352,C,0.058823529
RPV 354,C,0.047619048
RPV 356,C,0.058823529
RPV 357,C,0.052631579
RPV 358,C,0.047619048
RPV 360,C,0.066666667
RPV 361,C,0.055555556
RPV 363,C,0.055555556
RPV 365,A,0.05
RPV 366,A,0.043478261
RPV 367,A,0.038461538
RPV 368,A,0.038461538
RPV 369,A,0.038461538
RPV 370,A,0.045454545
RPV 371,A,0.038461538
RPV 372,A,0.04
RPV 373,A,0.038461538
RPV 374,A,0.034482759
RPV 375,A,0.05
RPV 380,B,0.055555556
RPV 381,B,0.055555556
RPV 382,B,0.05
RPV 383,B,0.05
RPV 384,B,0.045454545
RPV 385,B,0.055555556
RPV 386,B,0.052631579
RPV 387,B,0.05
RPV 388,B,0.047619048
RPV 390,B,0.055555556
RPV 391,B,0.055555556
RPV 392,B,0.047619048
RPV 393,B,0.047619048
RPV 394,B,0.047619048
RPV 395,C,0.071428571
RPV 396,C,0.058823529
RPV 397,C,0.058823529
RPV 399,C,0.047619048
RPV 400,C,0.076923077
RPV 401,C,0.058823529
RPV 402,C,0.055555556
RPV 403,C,0.05
RPV 404,C,0.047619048
RPV 405,C,0.066666667
RPV 407,C,0.058823529
RPV 408,C,0.052631579
RPV 410,A,0.05
RPV 411,A,0.047619048
RPV 412,A,0.045454545
RPV 413,A,0.041666667
RPV 415,A,0.05
RPV 416,A,0.043478261
RPV 417,A,0.043478261
RPV 418,A,0.041666667
RPV 419,A,0.038461538
RPV 420,A,0.047619048
RPV 421,A,0.045454545
RPV 422,A,0.041666667
RPV 424,A,0.04
RPV 425,B,0.0625
RPV 427,B,0.052631579
RPV 428,B,0.052631579
RPV 429,B,0.05
RPV 430,B,0.058823529
RPV 431,B,0.052631579
RPV 432,B,0.05
RPV 433,B,0.05
RPV 434,B,0.043478261
RPV 435,B,0.0625
RPV 437,B,0.052631579
RPV 438,B,0.047619048
RPV 439,B,0.045454545
RPV 440,C,0.071428571
RPV 441,C,0.066666667
RPV 442,C,0.055555556
RPV 445,C,0.066666667
RPV 447,C,0.055555556
RPV 449,C,0.047619048
RPV 450,C,0.058823529
RPV 451,C,0.055555556
RPV 455,A,0.043478261
RPV 456,A,0.041666667
RPV 457,A,0.038461538
RPV 458,A,0.038461538
RPV 459,A,0.038461538
RPV 460,A,0.043478261
RPV 461,A,0.041666667
RPV 462,A,0.04
RPV 463,A,0.04
RPV 465,A,0.045454545
RPV 466,A,0.043478261
RPV 467,A,0.041666667
RPV 468,A,0.04
RPV 469,A,0.037037037
RPV 470,B,0.0625
RPV 471,B,0.055555556
RPV 472,B,0.055555556
RPV 473,B,0.052631579
RPV 474,B,0.05
RPV 475,B,0.058823529
RPV 476,B,0.058823529
RPV 477,B,0.055555556
RPV 478,B,0.058823529
RPV 479,B,0.047619048
RPV 480,B,0.0625
RPV 481,B,0.0625
RPV 482,B,0.052631579
RPV 483,B,0.052631579
RPV 485,C,0.066666667
RPV 486,C,0.058823529
RPV 487,C,0.055555556
RPV 488,C,0.052631579
RPV 490,C,0.071428571
RPV 491,C,0.0625
RPV 492,C,0.055555556
RPV 494,C,0.05
RPV 495,C,0.071428571
RPV 496,C,0.0625
RPV 497,C,0.058823529
RPV 499,C,0.045454545
RPV 500,A,0.045454545
RPV 501,A,0.043478261
RPV 502,A,0.043478261
RPV 503,A,0.041666667
RPV 505,A,0.041666667
RPV 506,A,0.04
RPV 510,A,0.04
RPV 515,B,0.0625
RPV 516,B,0.05
RPV 517,B,0.047619048
RPV 518,B,0.05
RPV 520,B,0.058823529
RPV 521,B,0.052631579
RPV 522,B,0.05
RPV 525,B,0.052631579
RPV 526,B,0.05
RPV 530,C,0.071428571
RPV 531,C,0.0625
RPV 532,C,0.055555556
RPV 533,C,0.052631579
RPV 534,C,0.043478261
RPV 535,C,0.071428571
RPV 536,C,0.055555556
RPV 538,C,0.052631579
RPV 540,C,0.066666667
RPV 542,C,0.055555556
RPV 543,C,0.052631579
RPV 545,A,0.047619048
RPV 546,A,0.045454545
RPV 547,A,0.043478261
RPV 549,A,0.038461538
RPV 550,A,0.05
RPV 551,A,0.047619048
RPV 552,A,0.047619048
RPV 555,A,0.05
RPV 556,A,0.05
RPV 557,A,0.043478261
RPV 560,B,0.0625
RPV 561,B,0.058823529
RPV 562,B,0.055555556
RPV 565,B,0.0625
RPV 566,B,0.058823529
RPV 567,B,0.0625
RPV 568,B,0.058823529
RPV 570,B,0.055555556
RPV 571,B,0.052631579
RPV 572,B,0.047619048
RPV 573,B,0.047619048
RPV 574,B,0.045454545
RPV 576,C,0.058823529
RPV 577,C,0.055555556
RPV 578,C,0.052631579
RPV 579,C,0.052631579
RPV 580,C,0.071428571
RPV 582,C,0.0625
RPV 585,C,0.083333333
RPV 587,C,0.058823529
RPV 590,A,0.05
RPV 591,A,0.047619048
RPV 592,A,0.045454545
RPV 593,A,0.041666667
RPV 594,A,0.04
RPV 595,A,0.047619048
RPV 596,A,0.045454545
RPV 597,A,0.045454545
RPV 598,A,0.038461538
RPV 600,A,0.05
RPV 601,A,0.047619048
RPV 602,A,0.041666667
RPV 603,A,0.041666667
RPV 604,A,0.041666667
RPV 605,B,0.058823529
RPV 606,B,0.055555556
RPV 607,B,0.052631579
RPV 608,B,0.047619048
RPV 610,B,0.058823529
RPV 611,B,0.052631579
RPV 612,B,0.05
RPV 613,B,0.047619048
RPV 614,B,0.045454545
RPV 615,B,0.0625
RPV 616,B,0.058823529
RPV 617,B,0.055555556
RPV 618,B,0.045454545
RPV 619,B,0.045454545
RPV 620,C,0.066666667
RPV 621,C,0.066666667
RPV 622,C,0.058823529
RPV 623,C,0.058823529
RPV 624,C,0.055555556
RPV 625,C,0.071428571
RPV 626,C,0.0625
RPV 627,C,0.055555556
RPV 628,C,0.052631579
RPV 629,C,0.05
RPV 630,C,0.071428571
RPV 631,C,0.066666667
RPV 632,C,0.058823529
RPV 633,C,0.055555556
RPV 635,A,0.045454545
RPV 636,A,0.045454545
RPV 637,A,0.045454545
RPV 638,A,0.041666667
RPV 639,A,0.04
RPV 640,A,0.045454545
RPV 641,A,0.045454545
RPV 642,A,0.043478261
RPV 643,A,0.04
RPV 644,A,0.038461538
RPV 645,A,0.047619048
RPV 646,A,0.045454545
RPV 647,A,0.043478261
RPV 648,A,0.037037037
RPV 649,A,0.037037037
RPV 650,B,0.058823529
RPV 651,B,0.058823529
RPV 652,B,0.052631579
RPV 653,B,0.05
RPV 654,B,0.05
RPV 655,B,0.058823529
RPV 656,B,0.0625
RPV 657,B,0.055555556
RPV 658,B,0.052631579
RPV 660,B,0.066666667
RPV 661,B,0.055555556
RPV 662,B,0.052631579
RPV 663,B,0.052631579
RPV 664,B,0.05
RPV 665,C,0.071428571
RPV 666,C,0.066666667
RPV 668,C,0.055555556
RPV 669,C,0.055555556
RPV 670,C,0.066666667
RPV 671,C,0.055555556
RPV 672,C,0.052631579
RPV 675,C,0.066666667
RPV 676,C,0.058823529
RPV 677,C,0.058823529
RPV 679,C,0.052631579
RPV 680,A,0.047619048
RPV 681,A,0.047619048
RPV 682,A,0.043478261
RPV 683,A,0.041666667
RPV 684,A,0.037037037
RPV 685,A,0.047619048
RPV 686,A,0.047619048
RPV 687,A,0.04
RPV 688,A,0.04
RPV 689,A,0.04
RPV 690,A,0.047619048
RPV 691,A,0.045454545
RPV 692,A,0.045454545
RPV 693,A,0.04
RPV 694,A,0.037037037
RPV 695,B,0.058823529
RPV 696,B,0.058823529
RPV 697,B,0.058823529
RPV 698,B,0.058823529
RPV 699,B,0.055555556
RPV 700,B,0.058823529
RPV 701,B,0.055555556
RPV 702,B,0.055555556
RPV 703,B,0.05
RPV 705,B,0.058823529
RPV 706,B,0.0625
RPV 707,B,0.058823529
RPV 708,B,0.05
RPV 709,B,0.047619048
RPV 710,C,0.083333333
RPV 711,C,0.071428571
RPV 712,C,0.066666667
RPV 713,C,0.066666667
RPV 714,C,0.0625
RPV 715,C,0.083333333
RPV 716,C,0.071428571
RPV 717,C,0.066666667
RPV 718,C,0.0625
RPV 719,C,0.058823529
RPV 720,C,0.071428571
RPV 721,C,0.066666667
RPV 722,C,0.066666667
RPV 723,C,0.0625
RPV 724,C,0.058823529
RPV 725,A,0.05
RPV 726,A,0.047619048
RPV 727,A,0.047619048
RPV 728,A,0.041666667
RPV 729,A,0.038461538
RPV 730,A,0.047619048
RPV 731,A,0.043478261
RPV 732,A,0.043478261
RPV 733,A,0.041666667
RPV 734,A,0.038461538
RPV 735,A,0.05
RPV 736,A,0.047619048
RPV 737,A,0.045454545
RPV 738,A,0.041666667
RPV 739,A,0.041666667
RPV 740,B,0.071428571
RPV 741,B,0.0625
RPV 742,B,0.058823529
RPV 743,B,0.055555556
RPV 744,B,0.05
RPV 745,B,0.0625
RPV 746,B,0.055555556
RPV 747,B,0.052631579
RPV 748,B,0.045454545
RPV 750,B,0.066666667
RPV 751,B,0.066666667
RPV 752,B,0.058823529
RPV 753,B,0.055555556
RPV 754,B,0.052631579
RPV 755,C,0.0625
RPV 760,C,0.071428571
RPV 761,C,0.071428571
RPV 762,C,0.0625
RPV 763,C,0.058823529
RPV 764,C,0.055555556
RPV 766,C,0.071428571
RPV 767,C,0.058823529
RPV 768,C,0.052631579
RMO 046,A,0.052631579
RMO 047,A,0.041666667
RMO 048,A,0.043478261
RMO 049,A,0.035714286
RMO 051,A,0.05
RMO 052,A,0.045454545
RMO 053,A,0.038461538
RMO 054,A,0.034482759
RMO 056,A,0.04
RMO 057,A,0.041666667
RMO 058,A,0.041666667
RMO 059,A,0.03030303
RMO 061,B,0.066666667
RMO 062,B,0.066666667
RMO 063,B,0.055555556
RMO 066,B,0.0625
RMO 067,B,0.058823529
RMO 068,B,0.05
RMO 069,B,0.047619048
RMO 071,B,0.0625
RMO 072,B,0.0625
RMO 073,B,0.055555556
RMO 074,B,0.052631579
RMO 075,B,0.041666667
RMO 077,C,0.0625
RMO 078,C,0.066666667
RMO 079,C,0.052631579
RMO 080,C,0.052631579
RMO 082,C,0.0625
RMO 083,C,0.0625
RMO 084,C,0.055555556
RMO 085,C,0.052631579
RMO 086,C,0.066666667
RMO 087,C,0.058823529
RMO 088,C,0.058823529
RMO 091,A,0.047619048
RMO 092,A,0.045454545
RMO 093,A,0.041666667
RMO 094,A,0.038461538
RMO 096,A,0.045454545
RMO 097,A,0.045454545
RMO 098,A,0.04
RMO 099,A,0.035714286
RMO 101,A,0.045454545
RMO 102,A,0.045454545
RMO 103,A,0.043478261
RMO 104,A,0.04
RMO 105,A,0.038461538
RMO 106,B,0.0625
RMO 107,B,0.058823529
RMO 108,B,0.0625
RMO 109,B,0.052631579
RMO 111,B,0.055555556
RMO 112,B,0.055555556
RMO 113,B,0.05
RMO 114,B,0.047619048
RMO 116,B,0.066666667
RMO 117,B,0.052631579
RMO 118,B,0.052631579
RMO 119,B,0.047619048
RMO 120,B,0.045454545
RMO 121,C,0.076923077
RMO 122,C,0.071428571
RMO 123,C,0.0625
RMO 124,C,0.058823529
RMO 126,C,0.071428571
RMO 128,C,0.058823529
RMO 129,C,0.055555556
RMO 132,C,0.066666667
RMO 133,C,0.058823529
RMO 134,C,0.052631579
RMO 141,A,0.045454545
RMO 142,A,0.043478261
RMO 146,A,0.043478261
RMO 147,A,0.043478261
RMO 148,A,0.041666667
RMO 149,A,0.038461538
RMO 150,A,0.033333333
RMO 151,B,0.052631579
RMO 156,B,0.0625
RMO 157,B,0.058823529
RMO 158,B,0.055555556
RMO 161,B,0.052631579
RMO 162,B,0.052631579
RMO 163,B,0.043478261
RMO 166,C,0.071428571
RMO 168,C,0.058823529
RMO 169,C,0.052631579
RMO 171,C,0.071428571
RMO 172,C,0.058823529
RMO 176,C,0.090909091
RMO 177,C,0.066666667
RMO 178,C,0.0625
RMO 181,A,0.047619048
RMO 182,A,0.045454545
RMO 183,A,0.038461538
RMO 184,A,0.037037037
RMO 185,A,0.035714286
RMO 186,A,0.045454545
RMO 187,A,0.04
RMO 188,A,0.038461538
RMO 189,A,0.035714286
RMO 191,A,0.043478261
RMO 192,A,0.041666667
RMO 193,A,0.041666667
RMO 194,A,0.04
RMO 195,A,0.037037037
RMO 196,B,0.058823529
RMO 197,B,0.055555556
RMO 198,B,0.05
RMO 199,B,0.047619048
RMO 200,B,0.045454545
RMO 201,B,0.0625
RMO 203,B,0.05
RMO 204,B,0.05
RMO 205,B,0.047619048
RMO 206,B,0.066666667
RMO 207,B,0.052631579
RMO 208,B,0.047619048
RMO 209,B,0.045454545
RMO 211,C,0.076923077
RMO 212,C,0.0625
RMO 213,C,0.058823529
RMO 214,C,0.05
RMO 215,C,0.05
RMO 216,C,0.066666667
RMO 217,C,0.058823529
RMO 218,C,0.055555556
RMO 219,C,0.052631579
RMO 220,C,0.047619048
RMO 221,C,0.0625
RMO 222,C,0.058823529
RMO 223,C,0.055555556
RMO 224,C,0.055555556
RMO 225,C,0.047619048
RMO 226,A,0.05
RMO 227,A,0.045454545
RMO 228,A,0.041666667
RMO 229,A,0.038461538
RMO 230,A,0.038461538
RMO 231,A,0.047619048
RMO 232,A,0.041666667
RMO 233,A,0.041666667
RMO 234,A,0.035714286
RMO 235,A,0.035714286
RMO 236,A,0.05
RMO 237,A,0.045454545
RMO 238,A,0.04
RMO 239,A,0.037037037
RMO 240,A,0.029411765
RMO 241,B,0.0625
RMO 243,B,0.055555556
RMO 244,B,0.05
RMO 245,B,0.043478261
RMO 246,B,0.066666667
RMO 247,B,0.058823529
RMO 248,B,0.052631579
RMO 249,B,0.05
RMO 250,B,0.043478261
RMO 251,B,0.066666667
RMO 252,B,0.055555556
RMO 253,B,0.052631579
RMO 254,B,0.047619048
RMO 255,B,0.043478261
RMO 256,C,0.083333333
RMO 257,C,0.066666667
RMO 258,C,0.0625
RMO 259,C,0.055555556
RMO 260,C,0.055555556
RMO 261,C,0.083333333
RMO 262,C,0.076923077
RMO 263,C,0.0625
RMO 264,C,0.052631579
RMO 266,C,0.071428571
RMO 267,C,0.066666667
RMO 268,C,0.058823529
RMO 269,C,0.055555556
RMO 270,C,0.05
RMO 271,A,0.045454545
RMO 272,A,0.043478261
RMO 273,A,0.043478261
RMO 274,A,0.038461538
RMO 275,A,0.037037037
RMO 276,A,0.045454545
RMO 277,A,0.043478261
RMO 278,A,0.041666667
RMO 279,A,0.041666667
RMO 280,A,0.037037037
RMO 281,A,0.045454545
RMO 282,A,0.045454545
RMO 283,A,0.038461538
RMO 284,A,0.038461538
RMO 285,A,0.037037037
RMO 286,B,0.058823529
RMO 287,B,0.058823529
RMO 288,B,0.052631579
RMO 289,B,0.052631579
RMO 290,B,0.05
RMO 291,B,0.055555556
RMO 292,B,0.055555556
RMO 293,B,0.052631579
RMO 294,B,0.052631579
RMO 295,B,0.05
RMO 296,B,0.058823529
RMO 297,B,0.055555556
RMO 298,B,0.055555556
RMO 299,B,0.055555556
RMO 300,B,0.05
RMO 301,C,0.076923077
RMO 303,C,0.055555556
RMO 304,C,0.055555556
RMO 307,C,0.0625
RMO 308,C,0.058823529
RMO 309,C,0.055555556
RMO 310,C,0.05
RMO 311,C,0.076923077
RMO 312,C,0.0625
RMO 313,C,0.0625
RMO 314,C,0.055555556
RMO 316,A,0.043478261
RMO 318,A,0.038461538
RMO 319,A,0.038461538
RMO 321,A,0.045454545
RMO 322,A,0.045454545
RMO 323,A,0.04
RMO 324,A,0.04
RMO 326,A,0.041666667
RMO 327,A,0.043478261
RMO 328,A,0.04
RMO 329,A,0.038461538
RMO 330,A,0.034482759
RMO 331,B,0.055555556
RMO 332,B,0.052631579
RMO 333,B,0.05
RMO 334,B,0.045454545
RMO 335,B,0.041666667
RMO 336,B,0.055555556
RMO 337,B,0.05
RMO 338,B,0.047619048
RMO 340,B,0.041666667
RMO 341,B,0.055555556
RMO 342,B,0.05
RMO 343,B,0.043478261
RMO 344,B,0.041666667
RMO 345,B,0.041666667
RMO 346,C,0.076923077
RMO 347,C,0.055555556
RMO 348,C,0.052631579
RMO 349,C,0.055555556
RMO 351,C,0.066666667
RMO 352,C,0.058823529
RMO 353,C,0.045454545
RMO 354,C,0.05
RMO 356,C,0.071428571
RMO 357,C,0.055555556
RMO 358,C,0.05
RMO 361,A,0.047619048
RMO 362,A,0.047619048
RMO 363,A,0.043478261
RMO 364,A,0.04
RMO 366,A,0.047619048
RMO 367,A,0.041666667
RMO 368,A,0.04
RMO 369,A,0.04
RMO 370,A,0.038461538
RMO 371,A,0.045454545
RMO 372,A,0.043478261
RMO 373,A,0.04
RMO 374,A,0.034482759
RMO 376,B,0.0625
RMO 378,B,0.052631579
RMO 379,B,0.045454545
RMO 381,B,0.058823529
RMO 382,B,0.055555556
RMO 383,B,0.05
RMO 384,B,0.05
RMO 385,B,0.041666667
RMO 386,B,0.0625
RMO 387,B,0.055555556
RMO 388,B,0.047619048
RMO 389,B,0.038461538
RMO 390,B,0.038461538
RMO 391,C,0.055555556
RMO 392,C,0.05
RMO 396,C,0.066666667
RMO 397,C,0.066666667
RMO 398,C,0.058823529
RMO 399,C,0.047619048
RMO 401,C,0.083333333
RMO 402,C,0.066666667
RMO 403,C,0.058823529
RMO 404,C,0.055555556
RMO 406,A,0.043478261
RMO 407,A,0.041666667
RMO 408,A,0.041666667
RMO 409,A,0.04
RMO 410,A,0.034482759
RMO 411,A,0.045454545
RMO 413,A,0.037037037
RMO 414,A,0.035714286
RMO 415,A,0.033333333
RMO 417,A,0.043478261
RMO 418,A,0.041666667
RMO 419,A,0.038461538
RMO 420,A,0.035714286
RMO 421,B,0.071428571
RMO 423,B,0.0625
RMO 424,B,0.055555556
RMO 425,B,0.052631579
RMO 426,B,0.058823529
RMO 427,B,0.052631579
RMO 428,B,0.047619048
RMO 429,B,0.047619048
RMO 431,B,0.052631579
RMO 432,B,0.05
RMO 433,B,0.047619048
RMO 434,B,0.045454545
RMO 439,C,0.071428571
RMO 441,C,0.076923077
RMO 442,C,0.066666667
RMO 443,C,0.066666667
RMO 447,C,0.066666667
RMO 448,C,0.0625
RMO 449,C,0.058823529
RMO 451,A,0.045454545
RMO 452,A,0.043478261
RMO 453,A,0.043478261
RMO 454,A,0.041666667
RMO 455,A,0.038461538
RMO 456,A,0.043478261
RMO 457,A,0.043478261
RMO 458,A,0.043478261
RMO 459,A,0.04
RMO 460,A,0.04
RMO 461,A,0.045454545
RMO 464,A,0.037037037
RMO 465,A,0.035714286
RMO 466,B,0.058823529
RMO 467,B,0.055555556
RMO 469,B,0.045454545
RMO 470,B,0.041666667
RMO 471,B,0.052631579
RMO 472,B,0.047619048
RMO 473,B,0.05
RMO 474,B,0.05
RMO 475,B,0.047619048
RMO 476,B,0.055555556
RMO 477,B,0.05
RMO 478,B,0.05
RMO 479,B,0.047619048
RMO 480,B,0.045454545
RMO 481,C,0.076923077
RMO 482,C,0.076923077
RMO 483,C,0.0625
RMO 484,C,0.0625
RMO 485,C,0.055555556
RMO 486,C,0.071428571
RMO 487,C,0.071428571
RMO 489,C,0.058823529
RMO 490,C,0.055555556
RMO 491,C,0.076923077
RMO 492,C,0.071428571
RMO 494,C,0.055555556
RMO 495,C,0.05
RMO 496,A,0.041666667
RMO 497,A,0.041666667
RMO 498,A,0.04
RMO 499,A,0.037037037
RMO 500,A,0.035714286
RMO 501,A,0.04
RMO 503,A,0.04
RMO 504,A,0.04
RMO 505,A,0.038461538
RMO 506,A,0.045454545
RMO 507,A,0.045454545
RMO 508,A,0.043478261
RMO 509,A,0.043478261
RMO 510,A,0.038461538
RMO 511,B,0.055555556
RMO 512,B,0.055555556
RMO 513,B,0.052631579
RMO 514,B,0.047619048
RMO 515,B,0.047619048
RMO 516,B,0.052631579
RMO 517,B,0.052631579
RMO 518,B,0.05
RMO 519,B,0.05
RMO 520,B,0.045454545
RMO 521,B,0.058823529
RMO 522,B,0.055555556
RMO 523,B,0.05
RMO 524,B,0.047619048
RMO 525,B,0.043478261
RMO 528,C,0.055555556
RMO 531,C,0.0625
RMO 533,C,0.05
RMO 534,C,0.045454545
RMO 535,C,0.043478261
RMO 536,C,0.0625
RMO 537,C,0.052631579
RMO 538,C,0.052631579
RMO 539,C,0.052631579
RMO 541,A,0.041666667
RMO 542,A,0.041666667
RMO 543,A,0.04
RMO 544,A,0.04
RMO 545,A,0.038461538
RMO 546,A,0.045454545
RMO 547,A,0.04
RMO 548,A,0.04
RMO 549,A,0.034482759
RMO 551,A,0.041666667
RMO 553,A,0.04
RMO 554,A,0.035714286
RMO 556,B,0.0625
RMO 557,B,0.052631579
RMO 558,B,0.052631579
RMO 559,B,0.055555556
RMO 560,B,0.05
RMO 561,B,0.071428571
RMO 562,B,0.066666667
RMO 566,B,0.066666667
RMO 567,B,0.052631579
RMO 568,B,0.052631579
RMO 569,B,0.045454545
RMO 570,B,0.043478261
RMO 571,C,0.076923077
RMO 573,C,0.05
RMO 576,C,0.0625
RMO 577,C,0.0625
RMO 578,C,0.047619048
RMO 579,C,0.047619048
RMO 581,C,0.055555556
RMO 582,C,0.055555556
RMO 586,A,0.047619048
RMO 587,A,0.047619048
RMO 588,A,0.043478261
RMO 590,A,0.041666667
RMO 591,A,0.045454545
RMO 592,A,0.043478261
RMO 593,A,0.041666667
RMO 594,A,0.041666667
RMO 595,A,0.037037037
RMO 596,A,0.045454545
RMO 597,A,0.041666667
RMO 598,A,0.041666667
RMO 599,A,0.04
RMO 600,A,0.038461538
RMO 601,B,0.058823529
RMO 602,B,0.058823529
RMO 603,B,0.058823529
RMO 604,B,0.055555556
RMO 605,B,0.047619048
RMO 606,B,0.055555556
RMO 607,B,0.055555556
RMO 608,B,0.055555556
RMO 609,B,0.05
RMO 610,B,0.045454545
RMO 611,B,0.058823529
RMO 612,B,0.058823529
RMO 613,B,0.055555556
RMO 614,B,0.052631579
RMO 615,B,0.055555556
RMO 616,C,0.083333333
RMO 617,C,0.066666667
RMO 618,C,0.0625
RMO 619,C,0.058823529
RMO 620,C,0.047619048
RMO 621,C,0.058823529
RMO 622,C,0.058823529
RMO 623,C,0.058823529
RMO 624,C,0.052631579
RMO 625,C,0.052631579
RMO 626,C,0.066666667
RMO 627,C,0.066666667
RMO 628,C,0.058823529
RMO 629,C,0.052631579
RMO 631,A,0.041666667
RMO 632,A,0.04
RMO 633,A,0.04
RMO 634,A,0.038461538
RMO 635,A,0.035714286
RMO 636,A,0.047619048
RMO 637,A,0.041666667
RMO 638,A,0.041666667
RMO 639,A,0.035714286
RMO 640,A,0.035714286
RMO 641,A,0.047619048
RMO 642,A,0.041666667
RMO 644,A,0.038461538
RMO 646,B,0.055555556
RMO 647,B,0.055555556
RMO 648,B,0.055555556
RMO 649,B,0.05
RMO 651,B,0.058823529
RMO 652,B,0.055555556
RMO 653,B,0.052631579
RMO 654,B,0.047619048
RMO 655,B,0.041666667
RMO 656,B,0.052631579
RMO 657,B,0.052631579
RMO 658,B,0.05
RMO 659,B,0.045454545
RMO 660,B,0.043478261
RMO 661,C,0.066666667
RMO 662,C,0.055555556
RMO 663,C,0.043478261
RMO 666,C,0.071428571
RMO 668,C,0.055555556
RMO 669,C,0.052631579
RMO 671,C,0.071428571
RMO 672,C,0.0625
RMO 673,C,0.055555556
RMO 674,C,0.052631579
RMO 676,A,0.047619048
RMO 677,A,0.045454545
RMO 678,A,0.043478261
