,,Code
APR 506,716,APR 506
APR 509,841.48,APR 509
APR 515,769.41,APR 515
APR 523,749.17,APR 523
APR 527,746.99,APR 527
APR 531,740.29,APR 531
APR 534,710.23,APR 534
APR 542,757.84,APR 542
APR 544,739.69,APR 544
APR 546,660.15,APR 546
APR 562,792.8,APR 562
APR 567,719.37,APR 567
APR 569,682,APR 569
APR 571,686.93,APR 571
APR 573,784.81,APR 573
APR 575,693.09,APR 575
APR 585,760.5,APR 585
APR 589,679.81,APR 589
APR 591,695.13,APR 591
APR 593,749.27,APR 593
APR 605,787.92,APR 605
APR 606,768.77,APR 606
APR 624,673.88,APR 624
APR 627,731.01,APR 627
APR 631,679.42,APR 631
APR 639,822.97,APR 639
APR 641,758.97,APR 641
APR 643,890.72,APR 643
APR 657,787.2,APR 657
APR 664,732.4,APR 664
APR 670,739.81,APR 670
APR 675,782.31,APR 675
APR 677,814.69,APR 677
APR 677,818.82,APR 677
APR 678,827.67,APR 678
APR 702,759.52,APR 702
APR 709,670.57,APR 709
APR 712,766.94,APR 712
APR 714,717.25,APR 714
ARS 023,737.5,ARS 023
ARS 024,776.73,ARS 024
ARS 029,765.38,ARS 029
ARS 032,752.46,ARS 032
ARS 036,726.44,ARS 036
ARS 037,776.08,ARS 037
ARS 038,731.09,ARS 038
ARS 039,767.95,ARS 039
ARS 040,736.98,ARS 040
ARS 042,683.69,ARS 042
ARS 045,721.68,ARS 045
ARS 048,722.56,ARS 048
ARS 056,698.9,ARS 056
ARS 057,661.63,ARS 057
ARS 059,737.57,ARS 059
ARS 061,683.21,ARS 061
ARS 074,678.95,ARS 074
ARS 076,708.79,ARS 076
ARS 078,754.11,ARS 078
ARS 082,684.91,ARS 082
ARS 089,797.5,ARS 089
ARS 093,700.13,ARS 093
ARS 100,798.86,ARS 100
ARS 103,693.12,ARS 103
ARS 104,765.72,ARS 104
ARS 108,702.44,ARS 108
ARS 113,776.47,ARS 113
ARS 116,767.24,ARS 116
ARS 118,804.5,ARS 118
ARS 119,847.16,ARS 119
ARS 120,694.21,ARS 120
ARS 124,780.98,ARS 124
ARS 128,713.61,ARS 128
ARS 136,720.5,ARS 136
ARS 139,808.68,ARS 139
ARS 142,701.71,ARS 142
ARS 147,649.65,ARS 147
ARS 156,769.9,ARS 156
ARS 163,801.75,ARS 163
ARS 164,807.41,ARS 164
ARS 165,783.57,ARS 165
ARS 166,777.71,ARS 166
ARS 174,810.3,ARS 174
ARS 178,716.34,ARS 178
ARS 180,726.85,ARS 180
ARS 181,678.05,ARS 181
ARS 182,708.64,ARS 182
ARS 186,670.35,ARS 186
ARS 188,674.12,ARS 188
ARS 196,684.43,ARS 196
ARS 246,742.97,ARS 246
ARS 247,709.21,ARS 247
ARS 251,712.2,ARS 251
ARS 254,785.24,ARS 254
ARS 255,761.98,ARS 255
ARS 259,722.4,ARS 259
ARS 261,694.06,ARS 261
ARS 264,790.06,ARS 264
ARS 265,713.19,ARS 265
ARS 268,774.01,ARS 268
ARS 269,762.62,ARS 269
ARS 272,706.49,ARS 272
ARS 276,659.59,ARS 276
ARS 278,690.56,ARS 278
ARS 282,699.83,ARS 282
ARS 287,655.82,ARS 287
ARS 294,779.6,ARS 294
ARS 300,802.97,ARS 300
ARS 303,793.07,ARS 303
ARS 306,772.67,ARS 306
ARS 313,719.12,ARS 313
ARS 322,766.34,ARS 322
ARS 325,740.63,ARS 325
ARS 326,651.88,ARS 326
ARS 332,706.1,ARS 332
ARS 335,702.95,ARS 335
ARS 343,798.54,ARS 343
ARS 351,741.27,ARS 351
ARS 353,785.56,ARS 353
ARS 356,727.18,ARS 356
ARS 362,641.02,ARS 362
ARS 364,663.38,ARS 364
ARS 369,732.75,ARS 369
ARS 371,699.03,ARS 371
ARS 372,710.07,ARS 372
ARS 373,686.78,ARS 373
ARS 378,662.66,ARS 378
ARS 379,807.7,ARS 379
ARS 384,743.7,ARS 384
ARS 390,805.43,ARS 390
ARS 391,814.16,ARS 391
ARS 393,758.62,ARS 393
ARS 400,713.65,ARS 400
ARS 404,748.65,ARS 404
ARS 413,639.57,ARS 413
ARS 416,706.04,ARS 416
ARS 417,722.72,ARS 417
ARS 421,676.69,ARS 421
ARS 422,681.84,ARS 422
ARS 434,764.28,ARS 434
ARS 436,763.04,ARS 436
ARS 438,773.95,ARS 438
ARS 449,775.68,ARS 449
ARS 454,781.75,ARS 454
ARS 456,669.2,ARS 456
ARS 459,667.86,ARS 459
ARS 462,705,ARS 462
ARS 470,712.94,ARS 470
ARS 516,749.69,ARS 516
ARS 521,750.03,ARS 521
ARS 523,788.9,ARS 523
ARS 524,765.28,ARS 524
ARS 525,848.34,ARS 525
ARS 531,762.74,ARS 531
ARS 533,795.61,ARS 533
ARS 537,762.17,ARS 537
ARS 545,803.27,ARS 545
ARS 556,734.54,ARS 556
ARS 559,769.76,ARS 559
ARS 560,675.06,ARS 560
RMO 056,750.52,RMO 056
RMO 059,869.6,RMO 059
RMO 062,778.62,RMO 062
RMO 063,869.44,RMO 063
RMO 071,726.01,RMO 071
RMO 080,667.51,RMO 080
RMO 084,746.3,RMO 084
RMO 085,709.27,RMO 085
RMO 093,781.42,RMO 093
RMO 098,798.66,RMO 098
RMO 099,849.1,RMO 099
RMO 101,725.38,RMO 101
RMO 106,755.79,RMO 106
RMO 114,777.86,RMO 114
RMO 118,735.26,RMO 118
RMO 122,692.95,RMO 122
RMO 148,783.33,RMO 148
RMO 171,729.16,RMO 171
RMO 178,703.04,RMO 178
RMO 181,863.74,RMO 181
RMO 187,827.23,RMO 187
RMO 192,724.49,RMO 192
RMO 194,708.26,RMO 194
RMO 197,717.76,RMO 197
RMO 198,762.26,RMO 198
RMO 199,759.8,RMO 199
RMO 205,757.62,RMO 205
RMO 211,758.66,RMO 211
RMO 216,675.77,RMO 216
RMO 217,747.22,RMO 217
RMO 219,771.64,RMO 219
RMO 221,698,RMO 221
RMO 226,798.73,RMO 226
RMO 227,836.76,RMO 227
RMO 231,802.92,RMO 231
RMO 233,752.43,RMO 233
RMO 241,781.84,RMO 241
RMO 247,789.66,RMO 247
RMO 258,770.59,RMO 258
RMO 266,717.52,RMO 266
RMO 273,815.37,RMO 273
RMO 284,828.05,RMO 284
RMO 286,743.96,RMO 286
RMO 288,772.48,RMO 288
RMO 308,675.06,RMO 308
RMO 311,686.85,RMO 311
RMO 312,694.11,RMO 312
RMO 316,753.72,RMO 316
RMO 322,864.71,RMO 322
RMO 324,885.19,RMO 324
RMO 327,774.42,RMO 327
RMO 328,849.62,RMO 328
RMO 331,761.34,RMO 331
RMO 333,758.78,RMO 333
RMO 335,845.35,RMO 335
RMO 336,754.02,RMO 336
RMO 338,754.58,RMO 338
RMO 341,774.01,RMO 341
RMO 344,775.37,RMO 344
RMO 345,804.47,RMO 345
RMO 348,721.04,RMO 348
RMO 364,784.7,RMO 364
RMO 368,748.62,RMO 368
RMO 369,772.79,RMO 369
RMO 391,724.29,RMO 391
RMO 396,694.21,RMO 396
RMO 403,719.72,RMO 403
RMO 404,652.52,RMO 404
RMO 411,726.39,RMO 411
RMO 413,731.2,RMO 413
RMO 414,745.77,RMO 414
RMO 417,769.38,RMO 417
RMO 423,656,RMO 423
RMO 432,698.23,RMO 432
RMO 442,689.63,RMO 442
RMO 449,729.77,RMO 449
RMO 458,781.38,RMO 458
RMO 459,779.38,RMO 459
RMO 472,714.16,RMO 472
RMO 475,761.76,RMO 475
RMO 476,726.18,RMO 476
RMO 491,731.15,RMO 491
RMO 499,843.86,RMO 499
RMO 501,710.01,RMO 501
RMO 503,745.23,RMO 503
RMO 504,709.89,RMO 504
RMO 505,766.48,RMO 505
RMO 507,782.15,RMO 507
RMO 513,750.79,RMO 513
RMO 518,672.89,RMO 518
RMO 520,771.23,RMO 520
RMO 521,710.68,RMO 521
RMO 536,743.76,RMO 536
RMO 537,747.16,RMO 537
RMO 538,727.46,RMO 538
RMO 539,755.08,RMO 539
RMO 541,770.49,RMO 541
RMO 542,708.33,RMO 542
RMO 543,765.31,RMO 543
RMO 546,794.75,RMO 546
RMO 554,816.97,RMO 554
RMO 557,759.15,RMO 557
RMO 561,798.21,RMO 561
RMO 562,709.9,RMO 562
RMO 571,741.97,RMO 571
RMO 573,759.01,RMO 573
RMO 596,734.91,RMO 596
RMO 598,749.41,RMO 598
RMO 602,759.82,RMO 602
RMO 603,732.32,RMO 603
RMO 605,760.96,RMO 605
RMO 611,708.37,RMO 611
RMO 625,750.79,RMO 625
RMO 629,728.67,RMO 629
RMO 639,794.29,RMO 639
RMO 641,854.72,RMO 641
RMO 646,745.22,RMO 646
RMO 653,734.26,RMO 653
RMO 656,710.34,RMO 656
RMO 657,662.51,RMO 657
RMO 659,768.78,RMO 659
RMO 663,728.1,RMO 663
RMO 671,666.24,RMO 671
RMO 674,720.86,RMO 674
RMO 682,805.25,RMO 682
RMO 691,770.46,RMO 691
RMO 694,721.25,RMO 694
RMO 696,764.12,RMO 696
RMO 700,763.53,RMO 700
RMO 701,736.25,RMO 701
RMO 702,757.97,RMO 702
RMO 707,722.9,RMO 707
RMO 708,690.4,RMO 708
RMO 709,745.99,RMO 709
RMO 712,663.26,RMO 712
RMO 716,669.76,RMO 716
RPV 095,776.09,RPV 095
RPV 103,844.21,RPV 103
RPV 116,711.2,RPV 116
RPV 119,742.78,RPV 119
RPV 123,794.68,RPV 123
RPV 125,641.11,RPV 125
RPV 142,737.43,RPV 142
RPV 147,820.76,RPV 147
RPV 156,706.51,RPV 156
RPV 159,755.57,RPV 159
RPV 167,755.62,RPV 167
RPV 174,680.72,RPV 174
RPV 176,676.69,RPV 176
RPV 177,649.75,RPV 177
RPV 181,711.04,RPV 181
RPV 185,789.1,RPV 185
RPV 191,799.27,RPV 191
RPV 195,799.67,RPV 195
RPV 220,662.13,RPV 220
RPV 243,757.42,RPV 243
RPV 244,843.7,RPV 244
RPV 246,716.72,RPV 246
RPV 252,765.83,RPV 252
RPV 254,758.66,RPV 254
RPV 258,782.56,RPV 258
RPV 259,771.99,RPV 259
RPV 263,714.15,RPV 263
RPV 273,639.79,RPV 273
RPV 280,770.24,RPV 280
RPV 281,749.47,RPV 281
RPV 290,797.1,RPV 290
RPV 297,753.66,RPV 297
RPV 300,747.29,RPV 300
RPV 310,711.87,RPV 310
RPV 312,758.15,RPV 312
RPV 315,759.3,RPV 315
RPV 329,810.87,RPV 329
RPV 330,774.88,RPV 330
RPV 337,658.55,RPV 337
RPV 339,750.63,RPV 339
RPV 344,829.86,RPV 344
RPV 346,683.57,RPV 346
RPV 350,710.14,RPV 350
RPV 366,823.77,RPV 366
RPV 371,776.77,RPV 371
RPV 372,826.14,RPV 372
RPV 374,859.94,RPV 374
RPV 375,787.44,RPV 375
RPV 391,770.63,RPV 391
RPV 395,723.4,RPV 395
RPV 399,758.43,RPV 399
RPV 405,636.31,RPV 405
RPV 407,731.7,RPV 407
RPV 418,814.74,RPV 418
RPV 422,716.99,RPV 422
RPV 425,743.45,RPV 425
RPV 432,740.15,RPV 432
RPV 434,816.52,RPV 434
RPV 435,749.44,RPV 435
RPV 439,728.12,RPV 439
RPV 440,737.26,RPV 440
RPV 441,720.87,RPV 441
RPV 445,691.91,RPV 445
RPV 455,717.68,RPV 455
RPV 461,710.23,RPV 461
RPV 462,727.03,RPV 462
RPV 463,694.53,RPV 463
RPV 470,750.84,RPV 470
RPV 472,682.59,RPV 472
RPV 474,763.52,RPV 474
RPV 475,738.56,RPV 475
RPV 479,769.39,RPV 479
RPV 480,775.65,RPV 480
RPV 483,777.47,RPV 483
RPV 487,735.72,RPV 487
RPV 495,626.99,RPV 495
RPV 497,664.95,RPV 497
RPV 499,706.08,RPV 499
RPV 502,852.84,RPV 502
RPV 503,789.52,RPV 503
RPV 520,742.54,RPV 520
RPV 540,688.28,RPV 540
RPV 542,681.31,RPV 542
RPV 543,692.87,RPV 543
RPV 545,772.85,RPV 545
RPV 549,838.66,RPV 549
RPV 550,767.02,RPV 550
RPV 551,739.9,RPV 551
RPV 556,772.03,RPV 556
RPV 562,732.48,RPV 562
RPV 566,747.67,RPV 566
RPV 570,667.36,RPV 570
RPV 574,805.73,RPV 574
RPV 578,692.74,RPV 578
RPV 580,623.84,RPV 580
RPV 582,726.23,RPV 582
RPV 591,796.43,RPV 591
RPV 594,839.1,RPV 594
RPV 602,896.21,RPV 602
RPV 603,800.1,RPV 603
RPV 604,830.01,RPV 604
RPV 613,721.59,RPV 613
RPV 614,801.41,RPV 614
RPV 621,707.86,RPV 621
RPV 635,774.83,RPV 635
RPV 649,808.4,RPV 649
RPV 652,656.55,RPV 652
RPV 653,733.92,RPV 653
RPV 658,778.39,RPV 658
RPV 662,737.27,RPV 662
RPV 664,719,RPV 664
RPV 665,672.71,RPV 665
RPV 669,671.67,RPV 669
RPV 670,674.72,RPV 670
RPV 677,653.24,RPV 677
RPV 688,823.86,RPV 688
RPV 690,708.01,RPV 690
RPV 691,765.29,RPV 691
RPV 693,835.38,RPV 693
RPV 706,757.26,RPV 706
RPV 709,745.97,RPV 709
RPV 711,683.13,RPV 711
RPV 714,719.06,RPV 714
RPV 717,713.52,RPV 717
RPV 722,731.81,RPV 722
RPV 726,772.2,RPV 726
RPV 728,869.97,RPV 728
RPV 729,824.1,RPV 729
RPV 755,702,RPV 755
RPV 766,665.39,RPV 766
SJU 014,881.72,SJU 014
SJU 022,823.55,SJU 022
SJU 026,808.61,SJU 026
SJU 034,736.5,SJU 034
SJU 037,761.41,SJU 037
SJU 040,797.54,SJU 040
SJU 050,700.37,SJU 050
SJU 051,718.23,SJU 051
SJU 055,733.48,SJU 055
SJU 060,918.28,SJU 060
SJU 062,896.86,SJU 062
SJU 068,788.32,SJU 068
SJU 075,793.02,SJU 075
SJU 080,750.31,SJU 080
SJU 081,754.04,SJU 081
SJU 086,808.72,SJU 086
SJU 104,822.03,SJU 104
SJU 105,786.48,SJU 105
SJU 111,858.48,SJU 111
SJU 119,752.17,SJU 119
SJU 120,800.17,SJU 120
SJU 123,804.3,SJU 123
SJU 124,769.35,SJU 124
SJU 127,736.26,SJU 127
SJU 129,714.34,SJU 129
SJU 130,766.68,SJU 130
SJU 131,775.33,SJU 131
SJU 135,751.3,SJU 135
SJU 136,790.68,SJU 136
SJU 137,775.24,SJU 137
SJU 139,724.38,SJU 139
SJU 150,878.9,SJU 150
SJU 152,947.01,SJU 152
SJU 154,789.85,SJU 154
SJU 170,780.6,SJU 170
SJU 184,801.99,SJU 184
SJU 185,794.73,SJU 185
SJU 189,718.82,SJU 189
SJU 190,680.34,SJU 190
SJU 196,795.12,SJU 196
SJU 201,822.85,SJU 201
SJU 204,787.53,SJU 204
SJU 206,870.07,SJU 206
SJU 207,849.73,SJU 207
SJU 217,825.4,SJU 217
SJU 218,758.67,SJU 218
SJU 222,776.98,SJU 222
SJU 223,801.11,SJU 223
SJU 225,728.83,SJU 225
SJU 227,733.99,SJU 227
SJU 229,805.88,SJU 229
SJU 235,771.67,SJU 235
SJU 240,720.88,SJU 240
SJU 245,761.88,SJU 245
SJU 246,764.13,SJU 246
SJU 250,840.79,SJU 250
SJU 252,851.51,SJU 252
SJU 254,776.58,SJU 254
SJU 257,803.41,SJU 257
SJU 265,796.18,SJU 265
SJU 269,741.39,SJU 269
SJU 270,670.04,SJU 270
SJU 271,761.98,SJU 271
SJU 279,760.92,SJU 279
SJU 289,919.96,SJU 289
SJU 291,947.55,SJU 291
SJU 295,817.18,SJU 295
SJU 296,821.34,SJU 296
SJU 300,740.02,SJU 300
SJU 303,856.09,SJU 303
SJU 304,727.46,SJU 304
SJU 305,671.89,SJU 305
SJU 309,743.84,SJU 309
SJU 310,786.61,SJU 310
SJU 314,789.8,SJU 314
SJU 315,776.08,SJU 315
SJU 317,795.93,SJU 317
SJU 319,776.9,SJU 319
SJU 320,780.2,SJU 320
SJU 321,899.39,SJU 321
SJU 325,838.58,SJU 325
SJU 341,806.76,SJU 341
SJU 364,805.2,SJU 364
SJU 366,874.68,SJU 366
SJU 370,833.87,SJU 370
SJU 372,842.42,SJU 372
SJU 376,939.85,SJU 376
SJU 379,784.5,SJU 379
SJU 381,777.37,SJU 381
SJU 385,781.06,SJU 385
SJU 389,792.64,SJU 389
SJU 390,801.76,SJU 390
SJU 392,740.76,SJU 392
SJU 395,727.78,SJU 395
SJU 397,787.46,SJU 397
SJU 411,783.99,SJU 411
SJU 412,731.86,SJU 412
SJU 419,822.37,SJU 419
SJU 422,868.27,SJU 422
SJU 423,909.41,SJU 423
SJU 426,906.71,SJU 426
SJU 431,858.02,SJU 431
SJU 434,825.68,SJU 434
SJU 439,798.59,SJU 439
SJU 440,759.99,SJU 440
SJU 444,734.17,SJU 444
SJU 461,928.43,SJU 461
SJU 465,981.03,SJU 465
SJU 472,818.25,SJU 472
SJU 473,789.65,SJU 473
SJU 481,774.74,SJU 481
SJU 485,701.01,SJU 485
TLC 104,731.77,TLC 104
TLC 105,815.81,TLC 105
TLC 114,779.21,TLC 114
TLC 119,718.09,TLC 119
TLC 120,746.75,TLC 120
TLC 121,764.3,TLC 121
TLC 125,784.8,TLC 125
TLC 129,736.21,TLC 129
TLC 130,748.35,TLC 130
TLC 132,800.22,TLC 132
TLC 136,755.52,TLC 136
TLC 137,734.42,TLC 137
TLC 139,700.2,TLC 139
TLC 145,714.26,TLC 145
TLC 146,701.38,TLC 146
TLC 150,787.72,TLC 150
TLC 151,806.41,TLC 151
TLC 162,810.88,TLC 162
TLC 163,764.68,TLC 163
TLC 166,810.45,TLC 166
TLC 176,779.27,TLC 176
TLC 178,808.7,TLC 178
TLC 184,703.29,TLC 184
TLC 185,661.28,TLC 185
TLC 189,745.14,TLC 189
TLC 194,783.52,TLC 194
TLC 198,779.59,TLC 198
TLC 206,766.02,TLC 206
TLC 207,768.69,TLC 207
TLC 209,753.53,TLC 209
TLC 210,780.37,TLC 210
TLC 214,715.44,TLC 214
TLC 215,714.95,TLC 215
TLC 218,774.3,TLC 218
TLC 219,757.43,TLC 219
TLC 226,762.64,TLC 226
TLC 229,684.97,TLC 229
TLC 231,723.79,TLC 231
TLC 234,714.79,TLC 234
TLC 237,733.52,TLC 237
TLC 239,744.95,TLC 239
TLC 242,791.87,TLC 242
TLC 244,733.9,TLC 244
TLC 245,714.68,TLC 245
TLC 248,836.6,TLC 248
TLC 249,734.66,TLC 249
TLC 253,767.19,TLC 253
TLC 256,763.68,TLC 256
TLC 257,698.42,TLC 257
TLC 260,687.48,TLC 260
TLC 262,739.9,TLC 262
TLC 267,759.78,TLC 267
TLC 271,761.9,TLC 271
TLC 275,628.19,TLC 275
TLC 276,711.04,TLC 276
TLC 281,673.57,TLC 281
TLC 283,736.85,TLC 283
TLC 284,846.68,TLC 284
TLC 285,798.05,TLC 285
TLC 286,807.45,TLC 286
TLC 295,837.94,TLC 295
TLC 296,825.5,TLC 296
TLC 302,784.52,TLC 302
TLC 304,748.73,TLC 304
TLC 307,770.98,TLC 307
TLC 311,824.41,TLC 311
TLC 316,725.65,TLC 316
TLC 324,677.45,TLC 324
TLC 327,713.86,TLC 327
TLC 332,811.19,TLC 332
TLC 333,779.33,TLC 333
TLC 334,767.49,TLC 334
TLC 335,806.29,TLC 335
TLC 336,802.28,TLC 338
TLC 338,847.87,TLC 340
TLC 341,731.51,TLC 341
TLC 342,864.47,TLC 342
TLC 346,786.09,TLC 346
TLC 347,818.46,TLC 347
TLC 348,801.19,TLC 348
TLC 349,802.57,TLC 349
TLC 352,804.59,TLC 352
TLC 356,749.72,TLC 356
TLC 359,710.27,TLC 359
TLC 360,660.03,TLC 360
TLC 379,780.61,TLC 379
TLC 381,729.92,TLC 381
TLC 382,811.89,TLC 382
TLC 383,809.4,TLC 383
TLC 384,778.47,TLC 384
TLC 391,761.68,TLC 391
TLC 393,765.47,TLC 393
TLC 394,751.41,TLC 394
TLC 396,768.98,TLC 396
TLC 399,803.2,TLC 399
TLC 404,711.5,TLC 404
TLC 405,681.58,TLC 405
TLC 406,708.76,TLC 406
TLC 407,742.3,TLC 407
TLC 409,693.15,TLC 409
TLC 410,701.31,TLC 410
TLC 413,780.66,TLC 413
TLC 415,723.83,TLC 415
TLC 426,722.34,TLC 426
TLC 427,848.93,TLC 427
TLC 428,821.77,TLC 428
TLC 431,768.87,TLC 431
TLC 440,705.69,TLC 440
TLC 441,744.3,TLC 441
TLC 443,774.63,TLC 443
TLC 444,740.49,TLC 444
TLC 450,690.4,TLC 450
TLC 451,668.52,TLC 451
TLC 454,670.42,TLC 454
TLC 456,707.97,TLC 456
TLC 457,774.33,TLC 457
TLC 459,740.1,TLC 459
TLC 460,708.91,TLC 460
TLC 461,751.4,TLC 461
TLC 462,742.81,TLC 462
TPN 021,762.39,TPN 021
TPN 022,747.8,TPN 022
TPN 023,747.07,TPN 023
TPN 026,859.41,TPN 026
TPN 027,860.43,TPN 027
TPN 028,833.57,TPN 028
TPN 032,782.41,TPN 032
TPN 033,749.86,TPN 033
TPN 034,846.49,TPN 034
TPN 036,764.77,TPN 036
TPN 038,732.91,TPN 038
TPN 040,787.21,TPN 040
TPN 041,758.54,TPN 041
TPN 042,737.29,TPN 042
TPN 043,816.13,TPN 043
TPN 044,821.68,TPN 044
TPN 046,763.69,TPN 046
TPN 049,820.79,TPN 049
TPN 051,775.35,TPN 051
TPN 053,813.01,TPN 053
TPN 059,758.97,TPN 059
TPN 060,797.09,TPN 060
TPN 066,828.05,TPN 066
TPN 067,855.37,TPN 067
TPN 068,788.63,TPN 068
TPN 069,888.94,TPN 069
TPN 076,801.02,TPN 076
TPN 077,757.65,TPN 077
TPN 079,831.38,TPN 079
TPN 082,838.19,TPN 082
TPN 086,730.74,TPN 086
TPN 087,770.74,TPN 087
TPN 088,800.71,TPN 088
TPN 089,796.25,TPN 089
TPN 090,797.61,TPN 090
TPN 091,821.79,TPN 091
TPN 092,816.75,TPN 092
TPN 093,777.59,TPN 093
TPN 096,791.46,TPN 096
TPN 097,762.18,TPN 097
TPN 099,772.81,TPN 099
TPN 100,774.24,TPN 100
TPN 101,694.24,TPN 101
TPN 102,777.69,TPN 102
TPN 103,776.06,TPN 103
TPN 106,715.93,TPN 106
TPN 107,756.99,TPN 107
TPN 108,804.55,TPN 108
TPN 111,797.37,TPN 111
TPN 116,824.72,TPN 116
TPN 121,807.47,TPN 121
TPN 122,799.19,TPN 122
TPN 126,768.64,TPN 126
TPN 131,798.51,TPN 131
TPN 136,782.38,TPN 136
TPN 137,771.76,TPN 137
TPN 138,816.86,TPN 138
TPN 146,766.43,TPN 146
TPN 147,736.95,TPN 147
TPN 148,745.48,TPN 148
TPN 156,849.67,TPN 156
TPN 157,770.57,TPN 157
TPN 158,754.25,TPN 158
TPN 161,883.37,TPN 161
TPN 166,824.55,TPN 166
TPN 167,829.82,TPN 167
TPN 168,819.63,TPN 168
TPN 171,741.33,TPN 171
TPN 172,787.21,TPN 172
TPN 173,831.03,TPN 173
TPN 174,816.52,TPN 174
TPN 176,730.86,TPN 176
TPN 178,823.74,TPN 178
TPN 182,739.54,TPN 182
TPN 183,803.73,TPN 183
TPN 187,769.3,TPN 187
TPN 188,769.95,TPN 188
TPN 191,708.55,TPN 191
TPN 197,833.94,TPN 197
TPN 198,861.66,TPN 198
TPN 199,886.82,TPN 199
TPN 201,779.26,TPN 201
TPN 202,843.73,TPN 202
TPN 203,826.85,TPN 203
TPN 205,814.89,TPN 205
TPN 206,745.17,TPN 206
TPN 207,777.08,TPN 207
TPN 208,783.3,TPN 208
TPN 209,768.5,TPN 209
TPN 210,832.73,TPN 210
TPN 211,704.59,TPN 211
TPN 212,792.42,TPN 212
TPN 213,761.06,TPN 213
TPN 214,799.64,TPN 214
TPN 215,820.86,TPN 215
TPN 216,741.44,TPN 216
TPN 217,696.36,TPN 217
TPN 222,748.27,TPN 222
TPN 224,761.75,TPN 224
TPN 225,765.36,TPN 225
TPN 226,666.48,TPN 226
TPN 227,691.41,TPN 227
TPN 229,749.99,TPN 229
TPN 230,727.92,TPN 230
TPN 231,677.31,TPN 231
TPN 232,663.29,TPN 232
TPN 234,720.39,TPN 234
TPN 235,701.81,TPN 235
TPN 236,694.62,TPN 236
TPN 237,681.55,TPN 237
TPN 238,699.04,TPN 238
TPN 239,713.82,TPN 239
TPN 240,742.36,TPN 240
